# @RT-LOADER  *LIST-SEGMENT   (SINTRAN III VSX/500 L)
# Columns: <name>  <segment number, octal>
 S3IMAGE      2
 S3CP         3
 S3RTL        4
 S3ERRS       5
 S3FS         6
 S3DMAC       7
 S3RTFIL     10
 S3ERRL      11
 S3SFS       12
 S3SCP       13
 S3ERRP      14
 S3BFLY      15
 S3SRPIT     16
 S3SMPIT     17
 S3SDT5      20
 S3NMS5      21
 S3RFAC      22
 S3DPIT      23
 S3SSGT      24
 S3IRPIT     25
 S3IMPIT     26
 S3ISGT      27
 S3SM5       30
 S3SSPD      31
 S3RTACC     32
 S3XMSGP     76
 S3XMSGD     77
 S3MPIT      35
 S3TAD       36
 S3RTD       37
 S3FUDRT     40
 S3IMED      41
 S3ED        42
 S3PATCH     43
 S3IDPIT     44
 S3ISYS      45
 S3S5PIT     46
 S3RPIT      47
 S3I5PIT     50
 S35PIT      51
 S3SAVE      52
 S3SDPIT     53
 S3SSYS      54
 S3SERRP     55
 S3SRTC      56
 S3SRTD      57
 S3SECOM     60
 S3IECOM     61
 S3SSM5      62
 S3MEMTF     63
 S3ECOM      64
 S3SIPIT     65
 S3IIPIT     66
 S3IPIT      67
 S3SSM       70
 S3SM        71
 S3SDMWD     72
 S3IDMWD     73
 S3SXMK      74
 S3SXROU     75
 S3XMK       76
 S3XROU      77
 S3SDNAM    100
 S3DNAM     101
 S3SXMFI    102
 S3XMFI     103
 S3SNKSE    104
 S3INKSE    105
 S3SNKNA    106
 S3INKNA    107
 S3SU110    110
 S3IU110    111
 S3SU120    112
 S3IU120    113
 S3SERWC    114
 S3IERWC    115
 S3SERWD    116
 S3IERWD    117
 S3SPRMA    120
 S3IPRMA    121
 S3SEVMS    122
 S3IEVMS    123
 S3SBOPC    124
 S3IBOPC    125
 S3SMTSE    126
 S3IMTSE    127
 CFT        130
 CCT        132
 SNA3270    134
 XFTRAD     135
 FSASG      136
 COSPOOL    137
